,,Friday 31st,,,,Saturday 1st,,,,,,,,,
,,Kick off 20:15,,,,Kick off 14:15,,,,Kick off 16:45,,,,,
,,France (Home) ,Pts.,Wales (Away) ,Pts.,Scotland (Home) ,Pts.,Italy (Away) ,Pts.,Ireland (Home) ,Pts.,England (Away) ,Pts.,,
Forwards,,,,,,,,,,,,,,,Forwards
Prop,1,Jean-Baptiste Gros,10,Gareth Thomas,11,Pierre Schoeman,13,Danilo Fischetti,12,Andrew Porter,15,Ellis Genge,14,1,Prop
Hooker,2,Peato Mauvaka,15,Evan Lloyd,8,Dave Cherry,9,Giacomo Nicotera,13,Ronan Kelleher,13,Luke Cowan-Dickie,12,2,Hooker
Prop,3,Uini Atonio,11,Henry Thomas,7,Zander Fagerson,14,Simone Ferrari,9,Finlay Bealham,11,Will Stuart,9,3,Prop
Second Row,4,Alexandre Roumat,11,Will Rowlands,10,Jonny Gray,10,Dino Lamb,8,James Ryan,13,Maro Itoje (C),17,4,Second Row
Second Row,5,Emmanuel Meafou,11,Dafydd Jenkins,15,Grant Gilchrist,11,Federico Ruzza,14,Tadhg Beirne,17,George Martin,13,5,Second Row
Back Row,6,Francois Cros,16,James Botham,11,Jamie Ritchie,12,Sebastian Negri,12,Ryan Baird,12,Tom Curry,14,6,Back Row
Back Row,7,Paul Boudehent,13,Jac Morgan (C),16,Rory Darge (C),14,Michele Lamaro (C),15,Josh van der Flier,15,Ben Curry,13,7,Back Row
Back Row,8,Gregory Alldritt,17,Aaron Wainwright,16,Matt Fagerson,14,Lorenzo Cannone,14,Caelan Doris (C),18,Ben Earl,20,8,Back Row
Backs,,,,,,,,,,,,,,,Backs
Scrum-Half,9,Antoine Dupont (C),20,Tomos Williams,15,Ben White,14,Matin Page-Relo,10,Jamison Gibson-Park,16,Alex Mitchell,14,9,Scrum-Half
Fly-Half,10,Romain Ntamack,18,Ben Thomas,13,Finn Russell (C),20,Paolo Garbisi,18,Sam Prendergast,12,Marcus Smith,17,10,Fly-Half
Back Three,11,Louis Bielle-Biarrey,15,Josh Adams,13,Duhan van der Merwe,19,Monty Ioane,16,James Lowe,18,Cadan Murley,10,11,Back Three
Centre,12,Yoram Moefana,12,Owen Watkin,10,Stafford McDowall,8,Tommaso Menoncello,15,Bundee Aki,15,Henry Slade,12,12,Centre
Centre,13,Pierre-Louis Barassi,12,Nick Tompkins,13,Huw Jones,16,Juan Ignacio Brex,14,Garry Ringrose,14,Ollie Lawrence,15,13,Centre
Back Three,14,Théo Attissogbe,11,Tom Rogers,11,Darcy Graham,16,Ange Capuozzo,16,Mack Hansen,14,Tommy Freeman,14,14,Back Three
Back Three,15,Thomas Ramos,19,Liam Williams,14,Blair Kinghorn,17,Tommaso Allan,11,Hugo Keenan,14,Freddie Steward,12,15,Back Three
Subs,,,,,,,,,,,,,,,Subs
,16,Julien Marchand (H),13,Elliot Dee (H),12,Ewan Ashman (H),13,Gianmarco Lucchesi (H),13,Dan Sheehan (H),18,Theo Dan (H),10,16,
,17,Cyril Baille (P),13,Nicky Smith (P),7,Rory Sutherland (P),9,Luca Rizzoli (P),7,Cian Healy (P),9,Fin Baxter (P),9,17,
,18,Georges-Henri Colombe (P),10,Keiron Assiratti (P),8,Will Hurd (P),9,Marco Riccioni (P),8,Thomas Clarkson (P),7,Joe Heyes (P),8,18,
,19,Hugo Auradou,TBC,Freddie Thomas (SR),9,Gregor Brown (BR),7,Niccolo Cannone (BR),14,Iain Henderson (SR),10,Ollie Chessum (SR),13,19,
,20,Mickal Guillard (SR),8,Tommy Reffell (BR),17,Jack Dempsey (BR),16,Manuel Zuliani (BR),10,Jack Conan (BR),12,Chandler Cunningham-South (BR),14,20,
,21,Oscar Jegou (BR),10,Rhodri Williams (SH),9,George Horne (SH),10,Ross Vintcent (BR),12,Conor Murray (SH),11,Tom Willis (BR),10,21,
,22,Nolann Le Garrec (SH),12,Dan Edwards (FH),11,Tom Jordan (FH),11,Alessandro Garbisi (SH),8,Jack Crowley (FH),14,Harry Randall (SH),12,22,
,23,Emilien Gailleton (C),11,Blair Murray (BT),11,Kyle Rowe (BT),10,Simone Gesi (BT),11,Robbie Henshaw (C),10,Fin Smith (FH),9,23,
Referee,,Paul Williams (NZ),,,,Karl Dickson (ENG),,,,Ben O'Keeffe (NZ),,,,,Referee
,,,,,,,,,,,,,,,
,,Coloured Letters- Position in Fantasy Game,,,,Bold Players - Out of position in fantasy game,,,,"Sub Positions - Alongside players name.
 (H) - Hooker
 (P) - Prop
 (SR) - Second Row
 (BR) - Back Row
 (SH) - Scrum-Half
 (FH) - Fly-Half
 (BT) - Back Three
 (C) - Centre",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Italics - Probable kickers,,,,,,,,,
