,,Saturday 8th,,,,,,,,Sunday 9th,,,,,
,,Kick off 14:15 - Stadio Olimpico,,,,Kick off 16:45 - Twickenham,,,,Kick off 15:00 - Murrayfield,,,,,
,,Italy (Home),Pts.,Wales (Away),Pts.,England (Home),Pts.,France (Away),Pts.,Scotland (Home),Pts.,Ireland (Away),Pts.,,
Forwards,,,,,,,,,,,,,,,Forwards
Prop,1,Danilo Fischetti,12.8,Gareth Thomas,11.5,Ellis Genge,13.9,Jean-Baptiste Gros,10.6,Rory Sutherland,9.3,Andrew Porter,15.3,1,Prop
Hooker,2,Giacomo Nicotera,13.4,Evan Lloyd,8.2,Luke Cowan-Dickie,12.3,Peato Mauvaka,15.1,Dave Cherry,9.6,Rónan Kelleher,13.4,2,Hooker
Prop,3,Simone Ferrari,9.7,Henry Thomas,7.7,Will Stuart,9.2,Uini Atonio,11.1,Zander Fagerson,14.1,Finlay Bealham,11,3,Prop
Second Row,4,Niccolò Cannone,13,Will Rowlands,10.9,Maro Itoje (C),16.8,Alexandre Roumat,11,Jonny Gray,10.4,James Ryan,12.8,4,Second Row
Second Row,5,Federico Ruzza,13.9,Dafydd Jenkins,15.6,George Martin,13,Emmanuel Meafou,11.6,Grant Gilchrist,11.5,Tadhg Beirne,17.6,5,Second Row
Back Row,6,Sebastian Negri,13,James Botham,11.4,Tom Curry,15.2,Francois Cros,16.1,Matt Fagerson,14,Peter O'Mahony,10.8,6,Back Row
Back Row,7,Michele Lamaro (C),15.3,Taulupe Faletau,12.7,Ben Earl,20.2,Paul Boudehent,12.9,Rory Darge (C),15.3,Josh van der Flier,15.2,7,Back Row
Back Row,8,Lorenzo Cannone,14.4,Jac Morgan (C),17.2,Tom Willis,10,Gregory Alldritt,19.1,Jack Dempsey,16.4,Caelan Doris (C),17.9,8,Back Row
Backs,,,,,,,,,,,,,,,Backs
Scrum-Half,9,Martin Page-Relo,9.7,Tomos Williams,14.7,Alex Mitchell,13.8,Antoine Dupont (C),20.4,Ben White,14.1,Jamison Gibson-Park,17,9,Scrum-Half
Fly-Half,10,Paolo Garbisi,17.4,Ben Thomas,13.1,Fin Smith,9.4,Matthieu Jalibert,14.7,Finn Russell (C),19.5,Sam Prendergast,12.2,10,Fly-Half
Back Three,11,Monty Ioane,15.8,Josh Adams,12.5,Ollie Sleightholme,13.7,Louis Bielle-Biarrey,15.9,Duhan van der Merwe,19,James Lowe,18.4,11,Back Three
Centre,12,Tommaso Menoncello,15.8,Eddie James,8.8,Henry Slade,12,Yoram Moefana,12.4,Tom Jordan,11.3,Bundee Aki,15.7,12,Centre
Centre,13,Juan Ignacio Brex,14.3,Nick Tompkins,13.1,Ollie Lawrence,15.4,Pierre-Louis Barassi,12.5,Huw Jones,17.9,Robbie Henshaw,13.9,13,Centre
Back Three,14,Ange Capuozzo,15.7,Tom Rogers,11,Tommy Freeman,14.5,Damian Penaud,18.6,Darcey Graham,17,Mack Hansen,14.1,14,Back Three
Back Three,15,Tommaso Allan,11.4,Liam Williams,13.7,Marcus Smith,17.5,Thomas Ramos,19.4,Blair Kinghorn,17.4,Hugo Keenan,13.7,15,Back Three
Subs,,,,,,,,,,,,,,,Subs
,16,Gianmarco Lucchesi (H),13.2,Elliot Dee (H),12.4,Jamie George (H),14.7,Julien Marchand (H),13.8,Ewan Ashman (H),13.4,Dan Sheehan (H),18.4,16,
,17,Luca Rizzoli (P),7.2,Nicky Smith (P),7.4,Fin Baxter (P),9.2,Cyril Baille (P),13,Pierre Schoeman (P),12.9,Cian Healy (P),9.1,17,
,18,Marco Riccioni (P),8.2,Keiron Assiratti (P),8.1,Joe Heyes (P),8,Georges-Henri Colombe (P),10.1,Will Hurd (P),7.2,Thomas Clarkson (P),7,18,
,19,Dino Lamb (SR),8.5,Freddie Thomas (SR),8.9,Ollie Chessum (SR),13.1,Hugo Auradou (SR),8.2,Sam Skinner (SR) ,10,Ryan Baird (BR),12.4,19,
,20,Manuel Zuliani (BR),10.4,Aaron Wainwright (BR),16,Chandler Cunningham-South (BR),13,Mickael Guillard (SR),8.5,Gregor Brown (BR),7.7,Jack Conan (BR),12.5,20,
,21,Ross Vintcent (BR),12,Rhodri Williams (SH),9,Ben Curry (BR),13.2,Oscar Jegou (BR),10.1,Jamie Ritchie,12.1,Conor Murray (SH),11,21,
,22,Alessandro Garbisi (SH),8,Dan Edwards (FH),11,Harry Randall (SH),11.9,Nolann Le Garrec (SH),12,Jamie Dobie,10.8,Jack Crowley (FH),14,22,
,23,Jacopo Trulla (BT),10.8,Blair Murray (BT),11,Elliot Daly (BT),11.7,Emilien Gailleton (C),12,Stafford McDowall,8,Garry Ringrose (C),13.9,23,
Referee,,Matthew Carley (ENG),,,,Nika Amashukeli (GEO),,,,James Doleman (NZ),,,,,Referee
,,,,,,,,,,,,,,,
,,Coloured Letters- Position in Fantasy Game,,,,Bold Players - Out of position in fantasy game,,,,"Sub Positions - Alongside players name.
 (H) - Hooker
 (P) - Prop
 (SR) - Second Row
 (BR) - Back Row
 (SH) - Scrum-Half
 (FH) - Fly-Half
 (BT) - Back Three
 (C) - Centre",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Italics - Probable kickers,,,,,,,,,
